10,YBR180W,17.7072605,4.695544099,1.8169576,2.584289243,0.009757992,0.301887884,0.9987193,12.8536337,39.269428
11,YOR231C-A,20.5636235,4.919044046,1.7502011,2.81055931,0.004945547,0.200154697,0.9987193,21.4227228,39.269428
12,YOR214C,24.4880496,5.176038002,1.7105867,3.025884541,0.002479069,0.127622496,0.9987193,27.4210852,45.044344
13,YGL089C,29.791051,5.459689312,1.70407,3.203911396,0.001355742,0.085531366,0.9987193,24.8503584,63.524075
14,YAL019W-A,64.1547647,6.577110617,1.6270148,4.042440623,5.29E-05,0.009725622,0.9987193,50.5576258,140.907949
15,YKL070W,30.3598419,4.476560041,1.3169183,3.399269342,0.000675661,0.056954798,1.9974386,39.4178099,49.664277
16,YNL318C,25.0445482,4.185452875,1.4110784,2.966137805,0.003015653,0.147013099,1.9974386,18.851996,54.28421
17,YAL064C-A,31.0553485,4.507149406,1.3268375,3.396911357,0.00068151,0.056954798,1.9974386,33.4194475,57.749159
18,YDL186W,40.3572582,4.892640314,1.2849362,3.807691253,0.00014027,0.01880498,1.9974386,42.8454456,76.22889
19,snR74,21.3287944,3.340424491,1.2889248,2.591636487,0.009552064,0.299841629,2.9961578,20.5658139,40.424412
20,YGL235W,29.1900846,3.812951089,1.2090544,3.153663708,0.001612348,0.09696689,2.9961578,29.134903,55.439193
21,YAL018C,91.4222134,5.496831783,1.0504554,5.232808363,1.67E-07,9.77E-05,2.9961578,93.4030713,177.867411
22,YNR056C,24.2199896,3.101646039,1.1566674,2.681536568,0.00732849,0.260546055,3.9948771,31.7056297,36.959462
23,YHL043W,28.8026085,3.36705024,1.1106308,3.03165573,0.002432164,0.126217556,3.9948771,41.9885366,40.424412
24,YLR338W,45.5313535,4.044852624,1.1737138,3.446199979,0.000568529,0.050116262,3.9948771,20.5658139,112.033369
25,YPR002C-A,25.9686396,2.869802156,1.0918194,2.628458548,0.008577281,0.288978022,4.9935964,39.4178099,33.494512
26,YOR237W,31.122531,3.148826496,1.0519243,2.993396418,0.002758911,0.13869996,4.9935964,51.4145347,36.959462
27,YGL192W,38.7106229,3.476177071,0.9960575,3.489936301,0.000483136,0.045720267,4.9935964,55.6990792,55.439193
28,YML066C,33.9666018,3.273751208,1.0414614,3.143420728,0.001669856,0.09949561,4.9935964,36.8470832,60.059126
29,YJR128W,60.4068354,4.138141456,0.9342239,4.42949625,9.45E-06,0.002431232,4.9935964,71.1234396,105.10347
30,YEL069C,37.9381523,3.174412829,0.9892317,3.20896783,0.001332124,0.085531366,5.9923157,68.5527129,39.269428
31,YLL046C,39.9749204,3.251387088,0.9596012,3.388268928,0.000703353,0.058011624,5.9923157,64.2681683,49.664277
33,YFR032C,35.913968,3.082618491,0.984745,3.130372164,0.00174585,0.099705095,5.9923157,42.8454456,58.904143
34,YLR307C-A,34.0138719,2.997665532,1.0090877,2.970669103,0.002971518,0.145967296,5.9923157,35.9901743,60.059126
35,YHR050W-A,42.607837,3.343727248,0.9447525,3.539262585,0.000401247,0.040991412,5.9923157,54.8421703,66.989025
36,YGR224W,69.6442192,4.079187254,0.8743221,4.66554308,3.08E-06,0.000990356,5.9923157,83.9770733,118.963268
37,YOL132W,54.043391,3.470644798,0.8735432,3.973065934,7.10E-05,0.011414628,6.991035,71.9803485,83.15879
38,YMR244W,43.2885696,3.129318214,0.9599804,3.259773177,0.001115013,0.080619232,6.991035,38.560901,84.313773
39,YCL026C-A,53.1494596,3.439448152,1.0300387,3.339144679,0.000840368,0.063638819,6.991035,26.5641762,125.893168
40,YNR062C,82.1602743,4.095490786,0.8303885,4.9320176,8.14E-07,0.00034914,6.991035,95.1168891,144.372899
41,YNL332W,38.7281992,2.761805514,0.9199406,3.002156193,0.002680746,0.135831496,7.9897543,60.8405327,47.354311
42,YNL204C,37.2130976,2.698269328,0.9239912,2.920232582,0.003497702,0.158661071,7.9897543,53.9852614,49.664277
43,YML057C-A,38.5171908,2.745818086,0.9403725,2.919925954,0.003501146,0.158661071,7.9897543,39.4178099,68.144008
44,YJL038C,39.4858958,2.78355535,0.9454103,2.94428291,0.00323704,0.154298883,7.9897543,37.7039921,72.763941
45,YFL058W,47.9308965,3.081588686,0.9145152,3.369642018,0.000752659,0.058353739,7.9897543,44.5592634,91.243672
46,YLL005C,112.5351816,4.362511422,0.8388176,5.200786746,1.98E-07,0.000101191,7.9897543,91.6892535,237.926537
47,YJR095W,36.2047426,2.471396076,0.9149499,2.701127353,0.006910487,0.250371405,8.9884735,52.2714436,47.354311
48,YIL066W-A,39.2077339,2.431928543,0.8865711,2.743072306,0.006086728,0.234539493,9.9871928,59.1267149,48.509294
49,YFR023W,37.0344395,2.338730521,0.8969933,2.607299891,0.009125939,0.296721683,9.9871928,47.986899,53.129227
50,YDR374C,53.3034166,2.90769288,0.8215637,3.539217847,0.000401315,0.040991412,9.9871928,73.6941664,76.22889
51,YJR114W,43.1323057,2.573551852,0.9082774,2.833442512,0.004604959,0.193679158,9.9871928,38.560901,80.848823
52,YOR190W,56.9422064,3.009050947,0.810168,3.714107467,0.000203922,0.025730174,9.9871928,78.8356198,82.003806
53,YFL011W,57.3645147,3.018088831,0.8182387,3.688518938,0.000225563,0.027875404,9.9871928,68.5527129,93.553638
54,YDR218C,39.3543621,2.28640289,0.8734627,2.617630813,0.008854254,0.290699626,10.9859121,57.412897,49.664277
55,YLR374C,65.4344773,3.074879467,0.7787271,3.948596855,7.86E-05,0.012044268,10.9859121,84.8339822,100.483537
56,YAL042C-A,53.3359126,2.623806472,0.8096447,3.240688716,0.001192413,0.085257541,11.9846314,62.5543505,85.468756
57,YBR076W,97.5603706,3.546518931,0.7450993,4.759793871,1.94E-06,0.000656339,11.9846314,102.8290693,177.867411
58,YKL221W,77.339464,3.07753191,0.7345652,4.189596537,2.79E-05,0.005994221,12.9833507,117.3965208,101.638521
59,YOR384W,71.6612787,2.851521016,0.8614805,3.310023848,0.00093288,0.069000969,13.9820699,155.9574218,45.044344
60,YGL158W,48.6987241,2.239862627,0.8022307,2.792043105,0.005237638,0.208050614,13.9820699,65.1250772,66.989025
61,YLR307W,50.4498558,2.294024646,0.8015844,2.8618629,0.00421159,0.1816846,13.9820699,59.9836238,77.383874
62,YJL219W,62.0617319,2.61926708,0.77392,3.384415909,0.000713299,0.058011624,13.9820699,69.4096218,102.793504
63,YGR059W,48.2243278,2.116976615,0.808644,2.61793409,0.008846389,0.290699626,14.9807892,75.4079842,54.28421
64,YDR402C,55.1915408,2.327046849,0.7794999,2.985307608,0.002832933,0.141317231,14.9807892,65.1250772,85.468756
65,YIL037C,108.7920992,3.379044559,0.6825215,4.950824972,7.39E-07,0.000339674,14.9807892,173.952509,137.443
